,city_id,city_name,climate_index,country,cpi_index,healthcare_index,house_price_to_income_ratio,pollution_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,traffic_time_index
10,3470,"Raleigh, NC",83.87605961639794,United States,72.27690398561468,54.49025949025949,2.146248396804827,42.55069863167596,184.82626236192132,196.13809767323812,54.25441388676683,33.86666666666667
12,3411,"Dallas, TX",81.85230164905714,United States,66.94833041305327,62.379865225127304,1.96379077558024,47.282660730656815,188.3363436901554,194.65797802027848,49.694738013183695,35.15915492957747
19,3393,"Austin, TX",82.08324019030677,United States,69.61897212624177,63.198286685282596,3.709491309416142,42.583594770943236,157.53044134551342,189.83415104742429,60.78916549105168,34.30510254237288
22,3482,"San Diego, CA",97.07821201487171,United States,72.71907439288248,68.52086104369211,5.6971038722525025,40.16814881324397,138.81491019718436,188.82709202610084,61.82761954610839,35.26530612244897
24,3403,"Charlotte, NC",84.04570851306589,United States,76.71451780691073,66.45299145299144,2.396099978415195,33.54462434414776,145.88161794758767,188.28723428692388,53.45062150001107,37.913043478260875
25,3487,"Seattle, WA",91.73157092324982,United States,84.7744570568089,71.13950794978237,5.79779674942853,29.84945993121206,144.3809776524976,188.1004286912088,53.64242979071192,42.66257668711656
26,3484,"San Jose, CA",95.52646524123008,United States,81.42802123987852,63.39297658862878,5.9865421584108995,50.378620155496414,169.80603646125095,186.80178886113416,55.023572560337264,36.233333333333334
27,3445,"Madison, WI",51.63641757180172,United States,64.40659893863253,66.09935035842294,3.2164460770358696,33.856162196679435,136.12354835477365,186.460010093168,64.90395360271768,23.730769230769234
28,3469,"Portland, OR",89.55747164859805,United States,77.9630184672776,70.02498947811448,4.47026424859882,30.083325888221484,128.54121511025073,186.3934111391274,52.115783297238934,33.242672413793095
29,3409,"Columbus, OH",71.2887701014351,United States,68.06302196933957,67.12093045426379,2.156107628951991,33.238810657801395,134.27882434952116,186.27352410193532,52.32411866821348,26.179487179487175
35,3480,"San Antonio, TX",80.58015390546015,United States,66.64502309605037,68.1974462764904,2.197785960332625,42.250341821033395,134.75637041332214,182.9363903963431,51.929071552863796,28.08108108108108
36,3475,"Sacramento, CA",90.64313410263493,United States,76.55787196377872,69.66628978654882,3.6076916546435402,42.46363082195167,130.6649035978206,182.2874269254631,49.94960853965243,26.923333333333332
37,3476,"Saint Louis, MO",74.75459945257177,United States,67.16505815382095,81.23496873496873,2.4366535067941557,33.77410041060975,134.8625421849346,182.13889232826364,32.43516214405565,27.53333333333333
38,3400,"Boston, MA",71.72755006197409,United States,86.25226504935453,75.89753706941207,7.8573460483622215,24.60212749751036,124.21158947568993,182.07558511355018,65.6025251488689,43.58904109589041
42,3437,"Kansas City, MO",75.08058087450975,United States,68.85211905312207,73.98349436392914,2.1561212614099663,36.92369479723922,131.0220823999084,180.72144657715407,40.3441318469841,25.645161290322584
43,3492,"Tampa, FL",84.66578304374937,United States,69.60378765233011,66.49556821779044,3.078838379469188,29.31734106823286,120.02363901816679,180.18724412681672,50.61682281608296,36.733333333333334
47,3472,"Richmond, VA",81.27044039093946,United States,73.21513546380278,66.90716690716691,3.255351396133078,36.07360207923334,106.5516281515175,179.12692154978836,54.65361754457881,20.095238095238095
50,3483,"San Francisco, CA",97.25767522523428,United States,89.50550937275267,71.54280974813645,8.518173990461806,38.01620029059017,143.64581180265304,177.82644588279328,50.14452444228791,45.85526315789474
51,3450,"Minneapolis, MN",49.46376674331521,United States,76.28971323041468,78.34543561060289,3.0970773661283295,24.925241980335546,125.56356050197941,177.800472586607,49.715915204241185,35.53225806451613
53,8029,"Nashville, TN",83.0175638754116,United States,68.41557962303742,60.08705286483064,2.91838928205081,42.086018491951556,139.71192850541593,176.14601455157054,50.29794279020285,37.55555555555556
55,3467,"Pittsburgh, PA",72.13183784984773,United States,73.66762098596664,73.34656084656085,2.041584662133478,41.1945796927455,116.330922948599,175.42164978159136,63.613363262753516,38.857142857142854
56,3391,"Atlanta, GA",89.7293374928475,United States,71.09287512879273,64.4765149438677,2.7271560687047454,45.81848125364129,156.9961071381424,175.36592178222708,37.34584069875615,42.847457627118644
60,3479,"Salt Lake City, UT",66.51939803738425,United States,63.84603435185985,71.07156099369669,3.7412869306470857,61.812110878607044,139.45793215991904,173.99288106873303,73.26118931669217,35.37735849056603
61,3494,"Tucson, AZ",72.65992931276759,United States,71.14527089555142,59.74000316105579,2.627332437659372,27.121885485828514,111.14942214603951,173.555516407097,47.984151107251414,30.37837837837838
65,3428,"Houston, TX",85.53371190360225,United States,65.1135532082321,71.5238135689206,2.0917799871333127,54.132271356784095,151.85551434662716,171.72257937379987,38.15570039156472,41.05384615384616
67,3497,"Washington, DC",81.61594586980448,United States,88.67312274841515,69.98050682261209,4.318174628024314,40.13932717020126,137.35521075026878,171.16383162207026,44.11763978291141,42.17910447761194
69,3389,"Anchorage, AK",41.61046260276115,United States,91.6629968091281,59.85449735449736,2.65987338719665,17.962420314015414,129.1507815946819,170.72429286584153,41.053662479791065,30.947368421052634
76,3412,"Denver, CO",56.27803018466028,United States,74.4105504623575,71.47593724594282,4.754601834538471,40.46028103048254,123.41587397900324,169.39468971539978,58.644316745312345,34.94871794871794
81,3462,"Orlando, FL",87.23152153856908,United States,70.16485383227749,62.78396311291048,3.1362450312640915,33.47618659616184,104.87529152176126,167.76223466860017,45.05809422761638,36.875
84,3427,"Honolulu, HI",95.3301213718305,United States,90.35129668281922,70.69128787878788,8.637353104813359,36.473821658353216,101.43617847023245,166.34695785391958,57.172012894820895,41.75675675675676
86,3431,"Indianapolis, IN",69.9194447243868,United States,67.93648928165696,69.39565527065527,2.3172733455179992,42.81723061128907,113.47014597706271,165.0171250091139,43.273464566215026,30.833333333333336
87,3396,"Baltimore, MD",81.23796042302452,United States,75.51791210524594,80.05050505050505,2.542085371116159,48.048041559838296,123.58038264927455,164.80729497895862,28.923048092476428,32.12
89,3438,"Las Vegas, NV",57.40491499223077,United States,68.09451477712963,55.86545429617878,2.474019824393021,51.266127162482384,144.2274319107041,164.3441304776829,44.80990512961973,27.544117647058822
97,3466,"Phoenix, AZ",53.758776049053886,United States,66.55886543320558,65.98977193316816,2.8545916371250977,57.847784698812056,140.42257204279463,159.83983718428465,47.05675630920909,32.1948051948052
103,3405,"Chicago, IL",66.11013761898052,United States,79.54628804009674,66.8585174907366,3.5773827225337613,44.697638225568554,130.7983198680099,156.89721590721228,35.11095632316416,40.85454545454545
105,3449,"Milwaukee, WI",60.96070976309273,United States,70.4936174009922,65.62362758014932,3.1945818717673236,32.681707198028015,98.79281603198889,155.92607577789093,34.40868697844661,30.666666666666664
108,3442,"Los Angeles, CA",95.50397261459314,United States,77.87578275810257,65.10579771363199,7.442199432193539,62.56768092477055,120.48578723706937,153.98688993086066,57.73891697106758,48.024590163934434
112,3448,"Miami, FL",85.68519809850785,United States,77.29949023847402,63.85330728035894,5.536429215096756,41.3061526867779,92.37053620644056,152.63797876061653,47.85081150157417,43.06976744186046
117,3465,"Philadelphia, PA",77.97854331007035,United States,84.44486898477909,72.25088183421518,3.6647310270718174,48.00861921676945,99.53334166316235,150.60166737300563,40.395188548187605,40.375
136,3455,"New York, NY",79.66148630331618,United States,100.0,64.1524508591729,11.259727800886637,55.532500480800415,99.99999999999997,140.8206387368577,57.02978863283201,43.255339805825244
