,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"Chula Vista, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Wylie, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Akron, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Albuquerque, NM","$86,042 ","$59,892 ","$74,757 ","$90,558 ","$70,200 ","$43,165 ","$66,681 ","$46,570 ","$42,332 ","$66,918 ","$28,372 ","$37,939 ","$20,142 ","$23,475 ","$20,615 ","$25,183 ","$32,055 ","$22,755 ","$39,678 ","$40,552 ","$33,711 ","$31,098 "
"Anaheim, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Anchorage, AK","$99,652 ","$75,590 ","$79,005 ","$98,078 ","$73,368 ","$50,253 ","$90,918 ","$62,227 ","$48,936 ","$84,314 ","$40,871 ","$56,456 ","$25,440 ","$32,641 ","$31,407 ","$30,378 ","$42,579 ","$37,322 ","$66,404 ","$62,083 ","$36,458 ","$46,899 "
"Arlington, VA","$126,758 ","$79,016 ","$100,187 ","$84,159 ","$78,923 ","$47,084 ","$93,798 ","$51,683 ","$53,534 ","$64,675 ","$29,401 ","$43,021 ","$21,017 ","$25,224 ","$22,848 ","$26,366 ","$35,984 ","$31,849 ","$42,064 ","$48,123 ","$34,832 ","$33,114 "
"Atlanta, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Austin, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Bakersfield, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Baltimore, MD","$120,175 ","$77,493 ","$98,592 ","$93,973 ","$84,036 ","$48,730 ","$69,263 ","$58,678 ","$54,378 ","$75,395 ","$31,736 ","$46,621 ","$22,231 ","$27,364 ","$24,658 ","$27,960 ","$38,525 ","$34,441 ","$46,508 ","$50,891 ","$36,231 ","$35,357 "
"Baton Rouge, LA","$82,904 ","$55,972 ","$60,190 ","$76,896 ","$58,915 ","$41,704 ","$61,538 ","$46,549 ","$38,741 ","$54,820 ","$23,650 ","$33,289 ","$19,288 ","$21,243 ","$19,762 ","$23,568 ","$30,409 ","$32,744 ","$43,185 ","$41,334 ","$40,809 ","$31,808 "
"Birmingham, AL","$99,765 ","$66,198 ","$79,818 ","$86,062 ","$57,948 ","$43,247 ","$66,208 ","$47,619 ","$36,962 ","$54,038 ","$24,802 ","$35,254 ","$19,556 ","$23,012 ","$19,803 ","$24,401 ","$31,983 ","$31,962 ","$38,453 ","$44,173 ","$31,386 ","$28,979 "
"Boise, ID","$72,401 ","$58,020 ","$68,194 ","$78,059 ","$51,199 ","$41,704 ","$63,801 ","$36,458 ","$33,958 ","$63,163 ","$28,783 ","$39,492 ","$19,731 ","$24,617 ","$22,488 ","$25,924 ","$32,189 ","$24,422 ","$39,060 ","$41,642 ","$33,083 ","$32,353 "
"Boston, MA","$116,461 ","$77,020 ","$95,053 ","$88,439 ","$76,382 ","$44,718 ","$100,619 ","$62,464 ","$57,927 ","$81,341 ","$34,081 ","$55,448 ","$26,078 ","$35,017 ","$29,637 ","$30,748 ","$41,992 ","$30,368 ","$59,100 ","$53,627 ","$38,536 ","$35,161 "
"Buffalo, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Charlotte, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Chesapeake, VA","$126,758 ","$79,016 ","$100,187 ","$84,159 ","$78,923 ","$47,084 ","$93,798 ","$51,683 ","$53,534 ","$64,675 ","$29,401 ","$43,021 ","$21,017 ","$25,224 ","$22,848 ","$26,366 ","$35,984 ","$31,849 ","$42,064 ","$48,123 ","$34,832 ","$33,114 "
"Chicago, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Cincinnati, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Cleveland, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Columbus, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Corpus Christi, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Dallas, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Denver, CO","$116,780 ","$71,928 ","$95,177 ","$83,799 ","$68,595 ","$47,897 ","$86,114 ","$48,072 ","$45,778 ","$72,072 ","$33,248 ","$42,723 ","$22,570 ","$28,084 ","$25,049 ","$31,684 ","$37,744 ","$27,210 ","$46,241 ","$48,607 ","$36,036 ","$35,131 "
"Des Moines, IA","$86,227 ","$61,425 ","$76,125 ","$68,708 ","$56,991 ","$40,758 ","$60,941 ","$45,078 ","$35,820 ","$57,732 ","$30,172 ","$41,694 ","$20,410 ","$26,057 ","$23,815 ","$25,708 ","$35,182 ","$32,795 ","$44,111 ","$45,027 ","$35,635 ","$35,223 "
"Detroit, MI","$103,664 ","$65,755 ","$77,843 ","$81,515 ","$57,618 ","$45,140 ","$72,350 ","$45,305 ","$43,834 ","$65,231 ","$29,390 ","$40,727 ","$20,687 ","$25,255 ","$23,280 ","$26,819 ","$34,740 ","$26,880 ","$48,494 ","$45,017 ","$35,707 ","$32,034 "
"Durham, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"El Paso, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Fort Wayne, IN","$83,552 ","$59,573 ","$71,064 ","$70,467 ","$53,462 ","$39,503 ","$66,681 ","$42,373 ","$37,692 ","$59,213 ","$28,300 ","$36,869 ","$19,916 ","$25,111 ","$21,912 ","$25,317 ","$33,269 ","$27,127 ","$46,786 ","$43,227 ","$35,295 ","$32,127 "
"Fort Worth, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Fremont, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Fresno, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Garland, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Glendale, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Grand Rapids, MI","$103,664 ","$65,755 ","$77,843 ","$81,515 ","$57,618 ","$45,140 ","$72,350 ","$45,305 ","$43,834 ","$65,231 ","$29,390 ","$40,727 ","$20,687 ","$25,255 ","$23,280 ","$26,819 ","$34,740 ","$26,880 ","$48,494 ","$45,017 ","$35,707 ","$32,034 "
"Honolulu, HI","$95,259 ","$65,591 ","$79,674 ","$82,194 ","$67,319 ","$52,176 ","$81,186 ","$49,708 ","$49,234 ","$87,142 ","$34,308 ","$43,690 ","$28,115 ","$35,799 ","$27,456 ","$28,465 ","$38,885 ","$36,900 ","$66,146 ","$55,077 ","$37,538 ","$37,795 "
"Houston, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Huntington, WV","$77,555 ","$58,544 ","$65,025 ","$72,432 ","$53,586 ","$35,923 ","$58,359 ","$44,492 ","$37,023 ","$55,581 ","$25,738 ","$31,695 ","$20,451 ","$22,909 ","$20,297 ","$22,529 ","$29,493 ","$28,804 ","$44,317 ","$38,597 ","$35,295 ","$30,779 "
"Huntington Beach, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Indianapolis, IN","$83,552 ","$59,573 ","$71,064 ","$70,467 ","$53,462 ","$39,503 ","$66,681 ","$42,373 ","$37,692 ","$59,213 ","$28,300 ","$36,869 ","$19,916 ","$25,111 ","$21,912 ","$25,317 ","$33,269 ","$27,127 ","$46,786 ","$43,227 ","$35,295 ","$32,127 "
"Irving, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Jackson, MS","$69,654 ","$57,536 ","$63,677 ","$71,990 ","$54,234 ","$36,602 ","$60,931 ","$41,457 ","$37,095 ","$53,483 ","$23,630 ","$30,429 ","$19,412 ","$20,770 ","$20,081 ","$22,241 ","$29,925 ","$33,680 ","$36,941 ","$39,750 ","$31,180 ","$27,950 "
"Jacksonville, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Jersey City, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Kansas City, MO","$95,022 ","$64,007 ","$78,213 ","$75,467 ","$53,761 ","$38,423 ","$70,920 ","$44,451 ","$44,091 ","$58,503 ","$26,068 ","$37,065 ","$20,111 ","$24,957 ","$22,169 ","$25,882 ","$33,824 ","$30,008 ","$51,271 ","$42,774 ","$34,843 ","$32,549 "
"Las Vegas, NV","$95,640 ","$62,649 ","$74,335 ","$76,598 ","$62,124 ","$51,055 ","$94,035 ","$48,576 ","$48,288 ","$80,816 ","$34,411 ","$36,756 ","$24,329 ","$31,376 ","$22,724 ","$27,066 ","$35,234 ","$31,191 ","$47,835 ","$50,006 ","$33,053 ","$31,654 "
"Lincoln, NE","$88,243 ","$61,466 ","$75,940 ","$70,889 ","$56,651 ","$38,865 ","$65,694 ","$49,378 ","$38,556 ","$60,602 ","$28,578 ","$39,976 ","$22,148 ","$25,368 ","$24,247 ","$26,829 ","$33,423 ","$33,865 ","$40,357 ","$44,615 ","$36,128 ","$35,861 "
"Little Rock, AR","$76,382 ","$56,806 ","$66,712 ","$66,404 ","$52,958 ","$37,774 ","$54,069 ","$44,513 ","$39,287 ","$52,629 ","$24,576 ","$34,205 ","$19,906 ","$21,881 ","$20,554 ","$23,712 ","$30,255 ","$27,991 ","$35,707 ","$39,276 ","$30,594 ","$29,709 "
"Long Beach, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Los Angeles, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Louisville, KY","$82,781 ","$58,297 ","$67,144 ","$70,848 ","$55,633 ","$39,935 ","$62,525 ","$51,045 ","$38,700 ","$58,061 ","$28,249 ","$32,960 ","$19,669 ","$24,370 ","$22,755 ","$24,185 ","$31,798 ","$27,539 ","$43,515 ","$43,751 ","$35,666 ","$31,273 "
"Lubbock, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Madison, WI","$99,220 ","$61,075 ","$73,738 ","$70,128 ","$59,120 ","$42,270 ","$65,221 ","$47,835 ","$41,612 ","$64,871 ","$31,407 ","$42,116 ","$20,369 ","$25,636 ","$23,753 ","$27,662 ","$35,511 ","$31,880 ","$50,993 ","$45,850 ","$36,818 ","$34,616 "
"Memphis, TN","$83,470 ","$59,717 ","$72,154 ","$70,344 ","$57,773 ","$40,717 ","$72,905 ","$46,663 ","$41,735 ","$56,600 ","$27,189 ","$34,174 ","$19,751 ","$23,691 ","$21,089 ","$25,337 ","$32,981 ","$27,004 ","$38,474 ","$42,877 ","$33,330 ","$31,211 "
"Mesa, AZ","$88,295 ","$63,276 ","$81,834 ","$78,974 ","$57,423 ","$40,264 ","$79,005 ","$41,982 ","$44,245 ","$70,704 ","$30,337 ","$43,072 ","$22,333 ","$24,895 ","$23,959 ","$26,829 ","$34,925 ","$22,025 ","$41,653 ","$43,288 ","$33,855 ","$32,086 "
"Miami, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Milwaukee, WI","$99,220 ","$61,075 ","$73,738 ","$70,128 ","$59,120 ","$42,270 ","$65,221 ","$47,835 ","$41,612 ","$64,871 ","$31,407 ","$42,116 ","$20,369 ","$25,636 ","$23,753 ","$27,662 ","$35,511 ","$31,880 ","$50,993 ","$45,850 ","$36,818 ","$34,616 "
"Minneapolis, MN","$105,917 ","$67,731 ","$84,992 ","$77,802 ","$66,445 ","$46,488 ","$79,335 ","$50,273 ","$49,821 ","$73,183 ","$33,310 ","$42,702 ","$23,424 ","$29,658 ","$25,543 ","$29,740 ","$39,019 ","$32,651 ","$57,289 ","$49,049 ","$37,733 ","$37,023 "
"Mobile, AL","$99,765 ","$66,198 ","$79,818 ","$86,062 ","$57,948 ","$43,247 ","$66,208 ","$47,619 ","$36,962 ","$54,038 ","$24,802 ","$35,254 ","$19,556 ","$23,012 ","$19,803 ","$24,401 ","$31,983 ","$31,962 ","$38,453 ","$44,173 ","$31,386 ","$28,979 "
"New Orleans, LA","$82,904 ","$55,972 ","$60,190 ","$76,896 ","$58,915 ","$41,704 ","$61,538 ","$46,549 ","$38,741 ","$54,820 ","$23,650 ","$33,289 ","$19,288 ","$21,243 ","$19,762 ","$23,568 ","$30,409 ","$32,744 ","$43,185 ","$41,334 ","$40,809 ","$31,808 "
"New York, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Newark, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Oakland, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Oklahoma City, OK","$81,731 ","$60,272 ","$66,846 ","$75,559 ","$56,723 ","$38,927 ","$64,120 ","$38,330 ","$36,931 ","$56,415 ","$26,479 ","$37,291 ","$19,648 ","$22,961 ","$20,533 ","$25,039 ","$32,024 ","$28,567 ","$39,863 ","$42,702 ","$34,812 ","$32,497 "
"Omaha, NE","$88,243 ","$61,466 ","$75,940 ","$70,889 ","$56,651 ","$38,865 ","$65,694 ","$49,378 ","$38,556 ","$60,602 ","$28,578 ","$39,976 ","$22,148 ","$25,368 ","$24,247 ","$26,829 ","$33,423 ","$33,865 ","$40,357 ","$44,615 ","$36,128 ","$35,861 "
"Orlando, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Philadelphia, PA","$110,721 ","$67,916 ","$80,836 ","$75,539 ","$66,393 ","$41,540 ","$77,534 ","$55,098 ","$44,543 ","$64,212 ","$30,450 ","$38,515 ","$21,058 ","$26,983 ","$23,887 ","$27,395 ","$35,563 ","$30,090 ","$47,763 ","$45,552 ","$37,528 ","$33,505 "
"Phoenix, AZ","$88,295 ","$63,276 ","$81,834 ","$78,974 ","$57,423 ","$40,264 ","$79,005 ","$41,982 ","$44,245 ","$70,704 ","$30,337 ","$43,072 ","$22,333 ","$24,895 ","$23,959 ","$26,829 ","$34,925 ","$22,025 ","$41,653 ","$43,288 ","$33,855 ","$32,086 "
"Pittsburgh, PA","$110,721 ","$67,916 ","$80,836 ","$75,539 ","$66,393 ","$41,540 ","$77,534 ","$55,098 ","$44,543 ","$64,212 ","$30,450 ","$38,515 ","$21,058 ","$26,983 ","$23,887 ","$27,395 ","$35,563 ","$30,090 ","$47,763 ","$45,552 ","$37,528 ","$33,505 "
"Portland, OR","$94,673 ","$66,578 ","$85,322 ","$82,164 ","$60,015 ","$46,621 ","$76,578 ","$50,695 ","$48,535 ","$83,542 ","$36,139 ","$48,164 ","$24,514 ","$28,485 ","$26,531 ","$29,442 ","$37,178 ","$31,458 ","$49,327 ","$46,148 ","$36,293 ","$34,719 "
"Raleigh, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Reno, NV","$95,640 ","$62,649 ","$74,335 ","$76,598 ","$62,124 ","$51,055 ","$94,035 ","$48,576 ","$48,288 ","$80,816 ","$34,411 ","$36,756 ","$24,329 ","$31,376 ","$22,724 ","$27,066 ","$35,234 ","$31,191 ","$47,835 ","$50,006 ","$33,053 ","$31,654 "
